State,Crime_Info,Value,Category,Crime,Metric,Year
Tripura,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,5.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
Uttar Pradesh,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,1371.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
Uttarakhand,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,42.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
West Bengal,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,246.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
A&N Islands,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,3.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
Chandigarh,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,1.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
D&N Haveli and Daman & Diu,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,1.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
Delhi,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,60.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
Jammu & Kashmir,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,27.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
Ladakh,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,2.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
Lakshadweep,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,0.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
Puducherry,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,0.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
Andhra Pradesh,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___V,134.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,V,2021
Arunachal Pradesh,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___V,3.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,V,2021
Assam,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___V,96.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,V,2021
Bihar,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___V,140.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,V,2021
Chhattisgarh,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___V,42.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,V,2021
