State,Value,Category,Year,Dataset,State_Total,Crime_Share,Dataset_Total,Contribution_%,Prev_Value,Growth_Rate,Crime_Rank_State,State_Rank,Intensity,Log_Value,Frequency,Metric
Assam,1136,Negligence - Road Accidents - Other Accidents,2021,IPC,188338,0.006031709,4230873,0.026850251,,0,38,616,Low,7.036148494,Rare,I
Bihar,6022,Negligence - Road Accidents - Other Accidents,2021,IPC,305961,0.019682247,4230873,0.142334691,,0,9,165,Low,8.703340753,Rare,I
Chhattisgarh,2900,Negligence - Road Accidents - Other Accidents,2021,IPC,113598,0.025528618,4230873,0.068543773,,0,8,325,Low,7.972810784,Rare,I
Goa,98,Negligence - Road Accidents - Other Accidents,2021,IPC,2936,0.033378747,4230873,0.002316307,,0,7,1743.5,Low,4.59511985,Rare,I
Gujarat,5600,Negligence - Road Accidents - Other Accidents,2021,IPC,296968,0.018857251,4230873,0.13236039,,0,8,179,Low,8.630700432,Rare,I
Haryana,3889,Negligence - Road Accidents - Other Accidents,2021,IPC,144925,0.02683457,4230873,0.091919564,,0,11,266,Low,8.266164437,Rare,I
Himachal Pradesh,592,Negligence - Road Accidents - Other Accidents,2021,IPC,19452,0.030433889,4230873,0.013992384,,0,6,883.5,Low,6.385194399,Rare,I
Jharkhand,1224,Negligence - Road Accidents - Other Accidents,2021,IPC,69828,0.017528785,4230873,0.0289302,,0,14,597,Low,7.110696123,Rare,I
Karnataka,8381,Negligence - Road Accidents - Other Accidents,2021,IPC,177849,0.047124246,4230873,0.198091505,,0,5,115,Low,9.033841828,Rare,I
Kerala,2536,Negligence - Road Accidents - Other Accidents,2021,IPC,174311,0.014548709,4230873,0.059940348,,0,11,359,Low,7.83873756,Rare,I
Madhya Pradesh,4382,Negligence - Road Accidents - Other Accidents,2021,IPC,462368,0.009477299,4230873,0.103572005,,0,23,237,Low,8.3854887,Rare,I
Maharashtra,9184,Negligence - Road Accidents - Other Accidents,2021,IPC,505541,0.018166677,4230873,0.217071039,,0,15,107,Low,9.125326998,Rare,I
